,ENA_name,Accession_ID,HORVU.MOREX.r3.1HG0024860,HORVU.MOREX.r3.1HG0031260,HORVU.MOREX.r3.1HG0031480,HORVU.MOREX.r3.1HG0036390,HORVU.MOREX.r3.1HG0054220,HORVU.MOREX.r3.1HG0057440,HORVU.MOREX.r3.1HG0058180,HORVU.MOREX.r3.1HG0062390,HORVU.MOREX.r3.1HG0062680,HORVU.MOREX.r3.1HG0065060,HORVU.MOREX.r3.1HG0065220,HORVU.MOREX.r3.1HG0065500,HORVU.MOREX.r3.1HG0072100,HORVU.MOREX.r3.1HG0073500,HORVU.MOREX.r3.1HG0077250,HORVU.MOREX.r3.1HG0077550,HORVU.MOREX.r3.1HG0087020,HORVU.MOREX.r3.1HG0095050,HORVU.MOREX.r3.1HG0095200,HORVU.MOREX.r3.2HG0096180,HORVU.MOREX.r3.2HG0097600,HORVU.MOREX.r3.2HG0107710,HORVU.MOREX.r3.2HG0111280,HORVU.MOREX.r3.2HG0117260,HORVU.MOREX.r3.2HG0119220,HORVU.MOREX.r3.2HG0125030,HORVU.MOREX.r3.2HG0126960,HORVU.MOREX.r3.2HG0128490,HORVU.MOREX.r3.2HG0130900,HORVU.MOREX.r3.2HG0135320,HORVU.MOREX.r3.2HG0138250,HORVU.MOREX.r3.2HG0139440,HORVU.MOREX.r3.2HG0154130,HORVU.MOREX.r3.2HG0156870,HORVU.MOREX.r3.2HG0156930,HORVU.MOREX.r3.2HG0172460,HORVU.MOREX.r3.2HG0172490,HORVU.MOREX.r3.2HG0172510,HORVU.MOREX.r3.2HG0174520,HORVU.MOREX.r3.2HG0177270,HORVU.MOREX.r3.2HG0186990,HORVU.MOREX.r3.2HG0188220,HORVU.MOREX.r3.2HG0190700,HORVU.MOREX.r3.2HG0194240,HORVU.MOREX.r3.2HG0205740,HORVU.MOREX.r3.2HG0208900,HORVU.MOREX.r3.3HG0219650,HORVU.MOREX.r3.3HG0227760,HORVU.MOREX.r3.3HG0235980,HORVU.MOREX.r3.3HG0238250,HORVU.MOREX.r3.3HG0239980,HORVU.MOREX.r3.3HG0240140,HORVU.MOREX.r3.3HG0243770,HORVU.MOREX.r3.3HG0244590,HORVU.MOREX.r3.3HG0249060,HORVU.MOREX.r3.3HG0251630,HORVU.MOREX.r3.3HG0253950,HORVU.MOREX.r3.3HG0260040,HORVU.MOREX.r3.3HG0285210,HORVU.MOREX.r3.3HG0289810,HORVU.MOREX.r3.3HG0306160,HORVU.MOREX.r3.3HG0307130,HORVU.MOREX.r3.3HG0307160,HORVU.MOREX.r3.3HG0307400,HORVU.MOREX.r3.3HG0307960,HORVU.MOREX.r3.3HG0312310,HORVU.MOREX.r3.3HG0328340,HORVU.MOREX.r3.3HG0331060,HORVU.MOREX.r3.4HG0333840,HORVU.MOREX.r3.4HG0336620,HORVU.MOREX.r3.4HG0337070,HORVU.MOREX.r3.4HG0338060,HORVU.MOREX.r3.4HG0338800,HORVU.MOREX.r3.4HG0341560,HORVU.MOREX.r3.4HG0343130,HORVU.MOREX.r3.4HG0344580,HORVU.MOREX.r3.4HG0344730,HORVU.MOREX.r3.4HG0360870,HORVU.MOREX.r3.4HG0362740,HORVU.MOREX.r3.4HG0369880,HORVU.MOREX.r3.4HG0381880,HORVU.MOREX.r3.4HG0384240,HORVU.MOREX.r3.4HG0385940,HORVU.MOREX.r3.4HG0396400,HORVU.MOREX.r3.4HG0400300,HORVU.MOREX.r3.4HG0401230,HORVU.MOREX.r3.4HG0406150,HORVU.MOREX.r3.4HG0407340,HORVU.MOREX.r3.4HG0411680,HORVU.MOREX.r3.4HG0413910,HORVU.MOREX.r3.4HG0418580,HORVU.MOREX.r3.5HG0419840,HORVU.MOREX.r3.5HG0430270,HORVU.MOREX.r3.5HG0448590,HORVU.MOREX.r3.5HG0468460,HORVU.MOREX.r3.5HG0469210,HORVU.MOREX.r3.5HG0472180,HORVU.MOREX.r3.5HG0478460,HORVU.MOREX.r3.5HG0486340,HORVU.MOREX.r3.5HG0487000,HORVU.MOREX.r3.5HG0497530,HORVU.MOREX.r3.5HG0497560,HORVU.MOREX.r3.5HG0497570,HORVU.MOREX.r3.5HG0497580,HORVU.MOREX.r3.5HG0497590,HORVU.MOREX.r3.5HG0497660,HORVU.MOREX.r3.5HG0497670,HORVU.MOREX.r3.5HG0497680,HORVU.MOREX.r3.5HG0498830,HORVU.MOREX.r3.5HG0506780,HORVU.MOREX.r3.5HG0508080,HORVU.MOREX.r3.5HG0508610,HORVU.MOREX.r3.5HG0510920,HORVU.MOREX.r3.5HG0511090,HORVU.MOREX.r3.5HG0511210,HORVU.MOREX.r3.5HG0511250,HORVU.MOREX.r3.5HG0512550,HORVU.MOREX.r3.5HG0513740,HORVU.MOREX.r3.5HG0517310,HORVU.MOREX.r3.5HG0523350,HORVU.MOREX.r3.5HG0536610,HORVU.MOREX.r3.6HG0540820,HORVU.MOREX.r3.6HG0557190,HORVU.MOREX.r3.6HG0560010,HORVU.MOREX.r3.6HG0560710,HORVU.MOREX.r3.6HG0570200,HORVU.MOREX.r3.6HG0570860,HORVU.MOREX.r3.6HG0571720,HORVU.MOREX.r3.6HG0583520,HORVU.MOREX.r3.6HG0585150,HORVU.MOREX.r3.6HG0587680,HORVU.MOREX.r3.6HG0588370,HORVU.MOREX.r3.6HG0593470,HORVU.MOREX.r3.6HG0595250,HORVU.MOREX.r3.6HG0596460,HORVU.MOREX.r3.6HG0600830,HORVU.MOREX.r3.6HG0603700,HORVU.MOREX.r3.6HG0611630,HORVU.MOREX.r3.6HG0612450,HORVU.MOREX.r3.6HG0616500,HORVU.MOREX.r3.7HG0642700,HORVU.MOREX.r3.7HG0653160,HORVU.MOREX.r3.7HG0653910,HORVU.MOREX.r3.7HG0656470,HORVU.MOREX.r3.7HG0664320,HORVU.MOREX.r3.7HG0671520,HORVU.MOREX.r3.7HG0679980,HORVU.MOREX.r3.7HG0684000,HORVU.MOREX.r3.7HG0684020,HORVU.MOREX.r3.7HG0684940,HORVU.MOREX.r3.7HG0699010,HORVU.MOREX.r3.7HG0701130,HORVU.MOREX.r3.7HG0705340,HORVU.MOREX.r3.7HG0721170,HORVU.MOREX.r3.7HG0729460,HORVU.MOREX.r3.7HG0729670,HORVU.MOREX.r3.7HG0740230,HORVU.MOREX.r3.7HG0740600,HORVU.MOREX.r3.7HG0742750,HORVU.MOREX.r3.7HG0751260
463,ERS2904338,WI4752,low,mid,low,mid,high,low,mid,mid,mid,mid,mid,mid,mid,low,low,mid,mid,mid,low,mid,mid,mid,low,mid,mid,mid,low,mid,low,mid,mid,low,mid,low,mid,low,mid,low,mid,high,low,mid,mid,mid,mid,low,high,low,mid,low,mid,low,mid,low,low,mid,mid,low,low,mid,mid,mid,high,mid,low,mid,mid,mid,high,mid,low,mid,low,mid,mid,mid,low,mid,low,mid,low,low,high,low,mid,low,low,mid,mid,mid,mid,high,low,high,high,mid,mid,high,low,low,mid,mid,low,low,low,low,low,mid,mid,low,mid,mid,mid,low,mid,mid,high,low,high,high,mid,low,mid,mid,mid,low,high,mid,high,low,low,mid,low,mid,mid,low,low,mid,mid,mid,low,high,low,mid,mid,low,low,low,mid,mid,mid,mid,low,mid,mid,high,mid,mid,mid,low
464,ERS2904340,WI4758,high,high,mid,mid,mid,high,mid,mid,low,mid,low,low,low,low,high,mid,low,low,mid,low,mid,mid,mid,high,low,mid,low,mid,mid,low,low,low,high,mid,mid,low,mid,low,low,mid,low,mid,low,low,low,low,mid,low,mid,mid,mid,mid,high,low,mid,high,mid,low,low,low,low,mid,mid,low,low,low,mid,mid,low,low,mid,high,low,low,low,low,low,low,high,mid,low,mid,mid,low,high,mid,mid,low,mid,low,low,low,low,high,high,low,mid,mid,low,low,low,low,low,low,low,low,low,low,mid,low,mid,low,mid,low,low,high,mid,low,high,mid,low,low,mid,low,mid,low,high,mid,low,low,low,low,low,low,mid,low,mid,mid,low,mid,low,mid,low,low,mid,low,low,low,mid,mid,mid,low,mid,mid,low,mid,mid,low,low,low
465,ERS2904343,WI4779,low,mid,mid,low,low,mid,mid,mid,mid,mid,mid,low,mid,mid,mid,mid,mid,mid,mid,mid,mid,mid,mid,mid,mid,mid,low,low,mid,low,mid,mid,low,mid,mid,high,mid,mid,mid,mid,low,mid,mid,high,mid,mid,mid,mid,mid,mid,mid,mid,mid,mid,high,mid,high,low,low,mid,mid,high,mid,low,mid,mid,mid,high,low,high,mid,low,low,high,mid,mid,mid,mid,mid,mid,mid,low,mid,low,mid,mid,mid,mid,mid,low,mid,low,mid,high,mid,mid,mid,high,mid,mid,mid,low,mid,low,high,high,mid,high,mid,mid,low,mid,high,low,mid,mid,mid,mid,low,high,high,mid,mid,low,mid,mid,mid,mid,mid,low,mid,mid,mid,mid,high,mid,mid,mid,mid,high,low,mid,low,high,low,mid,mid,mid,mid,mid,mid,low,mid,mid,low,low,mid,high,high,low
466,ERS2904344,WI4780,mid,low,low,mid,mid,low,high,low,high,mid,high,low,mid,high,low,high,high,high,mid,low,low,mid,mid,high,mid,low,mid,mid,mid,high,high,mid,mid,low,mid,high,low,mid,mid,low,low,mid,low,high,high,high,low,high,high,high,high,high,low,mid,low,low,high,low,mid,high,mid,high,mid,mid,low,high,mid,high,low,high,high,low,mid,mid,mid,high,mid,mid,low,mid,high,low,low,mid,high,high,high,high,mid,mid,low,mid,high,mid,low,high,mid,high,high,mid,high,low,mid,low,mid,mid,mid,mid,mid,high,low,mid,low,mid,low,low,mid,mid,low,mid,high,low,mid,low,high,high,high,mid,high,mid,mid,mid,high,high,mid,mid,high,high,high,high,low,low,low,high,low,low,low,mid,low,mid,mid,low,high,high,low,low,high,high,mid,mid
467,ERS2904345,WI4801,low,low,high,low,low,low,low,low,mid,mid,mid,low,mid,mid,high,mid,mid,low,mid,low,low,mid,low,mid,low,low,low,mid,mid,mid,mid,mid,low,low,mid,mid,low,mid,mid,mid,low,mid,low,mid,mid,low,low,mid,mid,low,mid,mid,mid,low,low,low,high,low,low,mid,mid,mid,mid,low,low,mid,mid,mid,low,low,mid,low,mid,low,mid,mid,mid,low,low,low,mid,low,mid,mid,low,low,mid,mid,mid,mid,low,mid,mid,low,mid,mid,low,mid,low,low,mid,mid,low,low,mid,mid,mid,mid,low,mid,low,mid,mid,low,low,low,mid,mid,low,mid,mid,low,low,mid,mid,mid,low,mid,high,low,low,mid,low,high,mid,low,mid,mid,mid,mid,mid,low,low,mid,low,low,low,mid,low,mid,low,low,mid,high,low,mid,high,low,low,mid
468,ERS2904346,WI4843,low,low,mid,low,mid,low,mid,mid,mid,low,mid,mid,high,high,low,high,mid,mid,mid,low,low,high,low,mid,mid,mid,mid,mid,mid,low,mid,mid,mid,low,mid,mid,low,mid,mid,mid,low,mid,mid,mid,high,mid,low,mid,high,low,mid,mid,mid,low,low,low,high,low,low,high,mid,high,mid,low,mid,high,high,high,low,mid,high,low,mid,low,high,mid,high,low,low,mid,high,low,mid,high,mid,high,mid,mid,mid,high,low,mid,mid,low,low,mid,low,high,mid,mid,mid,mid,mid,low,mid,low,low,mid,high,mid,low,high,mid,mid,mid,low,mid,mid,low,high,high,low,low,low,mid,mid,mid,high,mid,mid,mid,mid,high,high,mid,mid,high,mid,mid,mid,mid,low,low,high,low,low,low,mid,mid,mid,low,low,high,high,low,low,high,low,mid,mid
469,ERS2904347,WI4847,mid,mid,mid,high,high,mid,high,low,mid,mid,low,low,mid,mid,high,low,mid,mid,mid,mid,mid,mid,mid,high,low,low,low,low,mid,low,mid,low,high,mid,mid,mid,mid,low,low,high,low,mid,mid,low,mid,low,low,low,mid,mid,low,mid,high,low,mid,mid,high,low,low,mid,mid,mid,high,low,mid,mid,mid,mid,low,mid,low,high,low,high,low,mid,low,mid,mid,low,mid,low,high,mid,mid,mid,mid,mid,low,mid,mid,high,low,high,high,mid,mid,mid,mid,mid,mid,mid,low,low,mid,mid,low,mid,mid,low,mid,mid,mid,low,low,mid,high,low,low,mid,mid,low,mid,mid,mid,mid,high,mid,low,low,mid,mid,low,mid,high,mid,mid,mid,mid,high,low,low,low,mid,low,low,low,mid,low,mid,high,low,mid,mid,mid,high,mid,low,mid,mid
470,ERS2904349,WI4854,mid,mid,mid,low,high,low,high,low,low,mid,low,mid,low,low,mid,low,low,mid,low,mid,mid,low,mid,mid,mid,mid,low,low,mid,low,mid,low,mid,mid,low,mid,mid,low,mid,high,low,low,mid,low,low,low,low,low,mid,mid,low,low,high,mid,low,mid,mid,low,low,low,mid,mid,mid,low,low,mid,low,low,low,low,low,low,low,high,mid,low,low,mid,high,low,low,mid,mid,mid,low,low,mid,low,high,mid,mid,high,low,mid,mid,low,mid,mid,low,low,low,mid,low,low,low,low,mid,mid,low,mid,mid,low,high,mid,low,mid,low,low,low,low,low,low,low,low,low,low,mid,low,low,low,low,low,low,low,high,low,low,low,low,mid,low,mid,low,low,low,mid,low,low,low,low,mid,low,mid,mid,low,mid,low,mid,low,low
471,ERS2904350,WI4859,high,high,low,high,mid,mid,mid,mid,low,low,low,low,low,low,mid,low,low,high,low,high,mid,low,high,high,low,high,low,low,low,low,mid,low,high,high,mid,low,high,mid,low,high,low,mid,mid,high,low,low,mid,low,low,mid,low,mid,high,mid,mid,high,low,low,low,low,mid,mid,mid,mid,low,mid,low,low,low,low,low,mid,low,high,low,low,low,high,high,mid,high,low,high,low,high,low,mid,low,low,low,mid,high,low,mid,high,mid,high,mid,mid,low,low,low,low,low,mid,low,low,low,mid,low,high,mid,high,mid,mid,high,high,low,low,low,low,mid,mid,mid,mid,low,high,low,mid,mid,low,low,low,mid,high,low,low,low,low,high,low,high,low,mid,low,low,low,low,mid,low,high,low,mid,high,mid,mid,low,low,low,mid
472,ERS2904352,WI4874,high,high,mid,high,mid,mid,high,mid,low,mid,low,mid,low,low,low,low,low,mid,mid,high,mid,low,low,mid,low,mid,low,low,low,low,low,low,high,high,low,high,high,low,mid,mid,low,low,low,mid,mid,mid,mid,low,low,mid,low,low,mid,mid,high,mid,low,low,low,low,low,mid,high,low,low,low,low,low,low,low,low,low,low,high,mid,mid,low,low,high,low,low,low,mid,mid,mid,low,low,low,low,low,mid,high,low,mid,mid,low,high,low,high,low,low,mid,low,low,mid,mid,low,low,low,low,high,low,mid,low,mid,high,high,low,low,low,low,low,mid,low,low,low,mid,low,mid,mid,mid,low,low,mid,mid,low,low,low,low,mid,low,high,low,low,low,low,low,low,mid,mid,low,low,mid,mid,low,high,low,mid,low,low
473,ERS2904353,WI4876,high,mid,low,mid,low,high,high,high,mid,low,mid,high,mid,low,mid,mid,mid,low,high,mid,low,mid,mid,high,low,low,low,mid,mid,mid,low,low,low,mid,low,mid,mid,mid,mid,high,low,mid,mid,mid,mid,low,mid,low,mid,high,low,low,mid,mid,low,high,mid,low,low,low,mid,mid,mid,high,mid,mid,mid,mid,low,low,mid,low,mid,high,mid,low,mid,mid,mid,low,low,low,mid,mid,mid,low,mid,low,low,low,mid,mid,low,high,high,mid,mid,mid,low,low,mid,low,low,low,mid,low,mid,mid,mid,mid,high,mid,mid,mid,mid,high,high,low,low,mid,mid,low,mid,low,mid,mid,high,mid,high,low,low,low,low,low,high,low,mid,mid,low,mid,low,high,low,low,mid,low,mid,mid,low,mid,mid,low,mid,mid,mid,mid,mid,low,low,low
474,ERS2904354,WI4878,low,mid,low,mid,mid,low,low,mid,mid,mid,low,mid,mid,mid,high,mid,mid,low,mid,low,mid,mid,low,high,mid,low,low,low,mid,mid,low,mid,low,low,mid,mid,mid,low,mid,mid,low,mid,mid,mid,mid,low,mid,low,mid,mid,low,mid,high,low,low,low,mid,low,low,low,low,mid,mid,low,mid,mid,mid,low,low,low,mid,low,low,mid,mid,low,low,low,mid,low,mid,low,mid,mid,low,mid,mid,mid,low,mid,low,high,low,mid,mid,mid,mid,mid,mid,low,mid,low,low,low,mid,mid,mid,low,low,mid,high,mid,mid,low,low,mid,mid,mid,low,mid,mid,mid,low,mid,low,mid,mid,mid,low,low,mid,mid,low,mid,mid,low,mid,low,mid,mid,low,high,low,low,low,mid,mid,mid,mid,low,mid,low,high,mid,low,mid,mid,mid,mid,low
